i	treeindex	accept	nnodes	distance	loglik	post	loga	Q	ru
7631	83	FALSE	3	0.0909090909090909	-21429.6556052574	-21458.0624406384	-106.214672839974	22.5	-1.17138636680318
7632	83	FALSE	3	0.0909090909090909	-21429.6556052574	-21458.0624406384	-6.48702765130423	0.0431034482758621	-1.80813535200149
7633	83	FALSE	3	0.0909090909090909	-21429.6556052574	-21458.0624406384	-708.645048921487	22.5	-2.52002321584443
7634	83	FALSE	3	0.0909090909090909	-21429.6556052574	-21458.0624406384	-98.9055908243754	1	-0.82044509355515
7635	83	FALSE	3	0.0909090909090909	-21429.6556052574	-21458.0624406384	-5.56076671854447	0.0431034482758621	-1.61402402274106
7636	83	FALSE	3	0.0909090909090909	-21429.6556052574	-21458.0624406384	-7.09872841764212	0.0431034482758621	-0.480360624728925
7637	83	FALSE	3	0.0909090909090909	-21429.6556052574	-21458.0624406384	-900.889564827601	22.5	-0.358613735382679
7638	83	FALSE	3	0.0909090909090909	-21429.6556052574	-21458.0624406384	-100.45841048993	1	-0.0293134720384462
7639	83	FALSE	3	0.0909090909090909	-21429.6556052574	-21458.0624406384	-98.6503614895737	1	-1.12034200122669
7640	83	FALSE	3	0.0909090909090909	-21429.6556052574	-21458.0624406384	-6.54419334084509	0.0431034482758621	-2.06974872815365
7641	83	FALSE	3	0.0909090909090909	-21429.6556052574	-21458.0624406384	-112.508185385261	1	-0.870409568415105
7642	83	FALSE	3	0.0909090909090909	-21429.6556052574	-21458.0624406384	-106.214672839974	22.5	-1.57904565262442
7643	83	FALSE	3	0.0909090909090909	-21429.6556052574	-21458.0624406384	-6.72648430397152	0.0431034482758621	-1.16937481693419
7644	83	FALSE	3	0.0909090909090909	-21429.6556052574	-21458.0624406384	-7.25000660860809	0.0431034482758621	-1.43808643037246
7645	83	FALSE	3	0.0909090909090909	-21429.6556052574	-21458.0624406384	-907.900611435878	1	-0.299682923159701
7646	83	FALSE	3	0.0909090909090909	-21429.6556052574	-21458.0624406384	-907.257976624558	1	-0.597357454489401
7647	83	FALSE	3	0.0909090909090909	-21429.6556052574	-21458.0624406384	NA	1	-0.263776856622305
7648	83	FALSE	3	0.0909090909090909	-21429.6556052574	-21458.0624406384	-907.828683137301	1	-1.21418340707037
7649	83	FALSE	3	0.0909090909090909	-21429.6556052574	-21458.0624406384	-715.58110150649	1	-0.630110464845624
7650	83	FALSE	3	0.0909090909090909	-21429.6556052574	-21458.0624406384	-6.89721121459428	0.0431034482758621	-3.48574677941272
7651	83	FALSE	3	0.0909090909090909	-21429.6556052574	-21458.0624406384	-7.09287749110575	0.0431034482758621	-0.774923434033276
7652	83	FALSE	3	0.0909090909090909	-21429.6556052574	-21458.0624406384	-6.54419334084509	0.0431034482758621	-0.0671855243618956
